,Price_Cents,Q_Low_Kwh,Q_High_Kwh
1,6.14,152623.2,
2,7.18,109290,
3,8.08,128002.8,
4,9.04,132265.2,
5,10.06,123312,
6,11.14,113738.4,
7,12,97320,
8,13.14,104022,
9,14.1,82299.6,
10,15.1,91377.6,
11,16.14,85251.6,
12,17,24172.8,
13,18.12,35546.4,
1,19.18,16898.4,
1,20.04,44870.4,
1,21.12,20311.2,
1,22.16,0,
1,23.18,46135.2,
1,24.02,18350.4,
1,3.07,,453526.5
1,3.59,,415408.35
1,4.04,,478374.75
1,4.52,,458603.25
1,5.03,,376478.55
1,5.57,,429401.7
1,6,,378928.2
1,6.57,,374668.35
1,7.05,,321604.5
1,7.55,,275156.7
1,8.07,,268710.75
1,8.5,,281368.5
1,9.06,,308695.8
1,9.59,,265093.5
1,10.02,,234731.7
1,10.56,,181881
1,11.08,,218551.2
1,11.59,,165974.55
1,12.01,,141378.3
